JUDUL,ISBN,TAHUN TERBIT,STOK,HARGA
"BIOREFINERY MIKROALGA: Dari Mikroalga menjadi Energi, Material Komponen Aktif, Pangan, dan Pakan",9786233591201,2023,2023,0
Pemuliaan Ternak Edisi 2,9786234140231,2022,2022,0
E-COMMERCE DAN APLIKASINYA,9786234951059,2022,2022,0
Buku Ajar Komunikasi dan Advokasi Kebijakan Publik,9786234141429,2023,2023,0
Sistem Informasi Manajemen,9789795264934,2022,2022,0
Tata Ruang Sungai Aluvial dan Sungai Non-Aluvial CAT dan Non-CAT,9786230103056,2020,2020,0
Buku Pegangan Penanganan Insiden Siber,9786230139550,2024,2024,0
"Cloud Computing, Panduan Implementasi Cloud Computing Menggunakan Amazon Web Service",9786230136252,2023,2023,0
Communipreneur: Model-model Komunikasi Kreatif di Era Industri 4.0,9786236548264,2020,2020,0
COMPUTATIONAL THINKING DALAM PEMBELAJARAN INFORMATIKA,9786234951660,2022,2022,0
Dasar Pemrograman,9786234951639,2022,2022,0
Dasar Pemrograman Julia. Panduan Praktis untuk Mempelajari Pemrograman Secara Mandiri,9786230126772,2022,2022,0
DASAR-DASAR MICRO TEACHING,9786233290760,2021,2021,0
DATA MINING,9786231140432,2023,2023,0
Database Fundamental dan Implementasinya dengan MySQL,9786234951547,2022,2022,0
DESAIN ALAT PERAGA FUEL SYSTEM TYPE COMMON RAIL BERBASIS MIKROKONTROLLER,9786233294843,2021,2021,0
Desain Komponen Struktur Beton Bertulang Lanjut,9786230126741,2022,2022,0
DESAIN TANGKI MENGGUNAKAN SOFTWARE ABAQUS,9786238388141,2023,2023,0
DETEKSI KERUSAKAN MOTOR INDUKSI 3 FASA,9786233290043,2020,2020,0
DIPENILAIAN DAUR HIDUP SEKTOR DISTRIBUSI MINYAK DAN GAS FUEL TERMINAL PEMATANGSIANTAR PT PERTAMINA (PERSERO) DIREKTORAT SH C&T,9786234951608,2022,2022,0
ELEKTRONIKA DASAR,9786231147653,2024,2024,0
"Energi Surya, Konversi Termal Dan Fotovoltaik",9786230111686,2021,2021,0
Ergonomi Dinamika Beban Kerja,9786230126505,2022,2022,0
EVOLUSI DATABASE MANAGEMENT SYSTEM,9786234951165,2022,2022,0
Generator Termoelektrik Sebagai Sumber Energi Alternatif,9786230132476,2023,2023,0
GOVERNANCE DI ERA DIGITAL: ISU-ISU KONTEMPORER,9786238301690,2023,2023,0
"Handling, Pustaka, dan Objek Python",9786231144164,2024,2024,0
Hukum tata kelola kepariwisataan nasional berkelanjutan alam dan budaya berbasis masyarakat hukum adat,9786233811101,2022,2022,0
Ilmu Komputer,9786238227914,2023,2023,0
"Indonesia, Paradise of Southeast Asia. Rupa Warna Pesona Indonesia (Daerah Istimewa Yogyakarta)",9786230117718,2021,2021,0
Inovasi Manajemen Pakan Ternak,9786236813096,2021,2021,0
